City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,karratha,-20.7377,116.8463,36.33,18,69,3.71,AU,1698028269
83,saudarkrokur,65.7461,-19.6394,1.26,80,99,1.57,IS,1698028515
84,ghadamis,30.1337,9.5007,26.89,21,0,3.61,LY,1698028515
85,port mathurin,-19.6833,63.4167,24.56,79,5,5.63,MU,1698028515
86,colonia,50.9333,6.95,10.54,92,0,2.06,DE,1698028408
87,nuuk,64.1835,-51.7216,-3.66,80,7,5.14,GL,1698028516
88,luderitz,-26.6481,15.1594,14.36,90,30,0.42,NA,1698028516
89,oriximina,-1.7656,-55.8661,24.84,85,19,0.51,BR,1698028516
90,thompson,55.7435,-97.8558,-3.91,80,40,1.54,CA,1698028516
91,los frentones,-26.4077,-61.4137,36.87,25,90,6.11,AR,1698028517
92,yinchuan,38.4681,106.2731,16.34,15,0,1.82,CN,1698028517
93,la tuque,47.4334,-72.7824,7.14,81,100,3.09,CA,1698028517
94,bago,17.3367,96.4797,28.07,77,68,2.51,MM,1698028517
95,leava,-14.3,-178.1667,27.47,83,37,6.63,WF,1698028518
96,pestovo,58.5938,35.8024,0.81,98,100,1.22,RU,1698028518
97,avarua,-21.2078,-159.775,27.03,83,75,3.09,CK,1698028518
98,san sebastian de la gomera,28.0916,-17.1133,22.2,60,0,2.06,ES,1698028518
99,monze,-16.2833,27.4833,21.06,69,2,1.14,ZM,1698028519
100,bardai,11.65,7.2333,21.85,23,11,4.01,NG,1698028519
101,wailua homesteads,22.0669,-159.378,28.19,70,20,5.14,US,1698028519
102,badger,64.8,-147.5333,-3.34,91,100,2.06,US,1698028519
103,conception bay south,47.4999,-52.9981,8.84,96,100,6.48,CA,1698028519
104,shalqar,47.8333,59.6,1.32,76,21,2.33,KZ,1698028520
105,lichinga,-13.3128,35.2406,19.84,44,94,3.05,MZ,1698028520
106,gamba,-2.65,10.0,24.39,94,100,2.75,GA,1698028520
107,utrik,11.2278,169.8474,25.43,90,100,9.33,MH,1698028520
108,papatowai,-46.5619,169.4708,13.14,60,88,3.62,NZ,1698028520
109,keflavik,64.0049,-22.5624,4.24,87,75,3.09,IS,1698028521
110,bikenibeu village,1.3673,173.1241,29.98,79,75,2.06,KI,1698028521
111,talnakh,69.4865,88.3972,-3.77,92,100,6.52,RU,1698028521
112,vadso,70.0744,29.7487,0.49,74,20,7.2,NO,1698028521
113,hinton,53.4001,-117.5857,-3.93,87,100,1.94,CA,1698028522
114,kodiak,57.79,-152.4072,4.73,56,0,5.66,US,1698028522
115,kingston,17.997,-76.7936,29.53,83,20,1.54,JM,1698028361
116,puerto armuelles,8.2833,-82.8667,27.27,72,100,2.24,PA,1698028522
117,mahasamund,21.1,82.1,23.15,59,93,2.24,IN,1698028522
118,dhidhdhoo,6.8833,73.1,27.77,73,96,2.36,MV,1698028477
119,enewetak,11.3474,162.3373,28.74,71,95,4.5,MH,1698028523
120,buritizeiro,-17.3511,-44.9622,23.65,61,6,1.75,BR,1698028523
121,hithadhoo,-0.6,73.0833,27.45,69,92,4.65,MV,1698028523
122,eydhafushi,5.1033,73.0708,27.42,76,78,4.59,MV,1698028523
123,st. john's,47.5649,-52.7093,8.97,96,100,5.66,CA,1698028308
124,hawaiian paradise park,19.5933,-154.9731,27.73,72,0,6.17,US,1698028524
125,magadan,59.5667,150.8,1.41,92,100,5.41,RU,1698028524
126,kuqa,41.7278,82.9364,14.54,25,22,1.6,CN,1698028524
127,vorkuta,67.5,64.0,-10.95,97,99,2.0,RU,1698028524
128,santo antonio,-6.3106,-35.4789,21.84,88,71,3.37,BR,1698028525
129,dahab,28.501,34.5134,26.84,46,0,3.85,EG,1698028525
130,vorgashor,67.5833,63.95,-12.07,97,94,1.99,RU,1698028525
131,port isabel,26.0734,-97.2086,28.02,76,75,7.2,US,1698028269
132,kapa'a,22.0752,-159.319,28.94,70,20,5.14,US,1698028526
133,la mira,18.035,-102.3266,25.13,86,97,1.15,MX,1698028526
134,tarauaca,-8.1614,-70.7656,23.35,85,77,1.21,BR,1698028526
135,alpena,45.0617,-83.4327,5.14,92,0,1.54,US,1698028526
136,port lincoln,-34.7333,135.8667,20.34,48,100,6.92,AU,1698028526
137,holualoa,19.6228,-155.9522,25.91,81,75,4.12,US,1698028527
138,saint-pierre,-21.3393,55.4781,21.98,68,0,3.09,RE,1698028527
139,nemuro,43.3236,145.575,11.28,59,37,6.32,JP,1698028527
140,puerto natales,-51.7236,-72.4875,3.38,93,25,1.27,CL,1698028527
141,ridgecrest,35.6225,-117.6709,20.92,39,0,5.66,US,1698028228
142,iskateley,67.6803,53.1512,-0.79,96,100,6.0,RU,1698028528
143,poronaysk,49.2167,143.1167,7.11,39,46,6.8,RU,1698028528
144,tralee,52.2704,-9.7026,10.42,95,100,3.24,IE,1698028528
145,codrington,-38.2667,141.9667,16.37,52,13,4.53,AU,1698028528
146,saldanha,-33.0117,17.9442,12.03,79,94,2.43,ZA,1698028529
147,sinjar,36.3209,41.8754,19.95,38,99,1.43,IQ,1698028529
148,tolanaro,-25.0319,46.9987,21.04,88,20,1.03,MG,1698028529
149,karangampel,-6.4622,108.4519,29.82,61,19,3.62,ID,1698028529
150,juneau,58.3019,-134.4197,0.12,56,20,4.63,US,1698028374
151,shaowu,27.3409,117.4831,24.54,67,14,0.91,CN,1698028530
152,thinadhoo,0.5333,72.9333,26.97,74,99,5.18,MV,1698028530
153,kailua-kona,19.6406,-155.9956,27.98,80,75,4.12,US,1698028530
154,gadzhiyevo,69.2551,33.3362,0.55,76,99,8.79,RU,1698028531
155,mejit,10.2753,170.8646,26.27,84,100,6.48,MH,1698028531
156,al jawf,29.5,38.75,21.48,42,7,2.74,SA,1698028531
157,grand falls-windsor,48.9332,-55.6649,5.28,93,100,1.34,CA,1698028531
158,akjoujt,19.6969,-14.4164,21.98,68,0,2.95,MR,1698028531
159,torghay,49.6339,63.4981,-0.19,79,7,3.55,KZ,1698028532
160,hermanus,-34.4187,19.2345,16.25,73,99,2.65,ZA,1698028532
161,battagram,34.6772,73.0233,17.34,49,7,1.35,PK,1698028532
162,hammerfest,70.6634,23.6821,0.25,69,40,3.09,NO,1698028532
163,inari,68.906,27.0288,-5.89,94,23,1.44,FI,1698028533
164,nyala,12.05,24.8833,24.67,21,27,4.25,SD,1698028533
165,montevideo,-34.8335,-56.1674,17.84,100,100,0.0,UY,1698028533
166,el soberbio,-27.2985,-54.1988,25.72,89,99,1.32,AR,1698028533
167,litija,46.0586,14.8225,9.61,95,72,0.95,SI,1698028533
168,alvorada,-12.48,-49.1247,27.99,50,24,2.04,BR,1698028534
169,rawson,-43.3002,-65.1023,10.78,70,100,3.63,AR,1698028534
170,vrangel',42.7297,133.0839,12.23,39,5,2.34,RU,1698028534
171,kavieng,-2.5744,150.7967,29.46,69,94,4.44,PG,1698028534
172,sinfra,6.6167,-5.9167,22.02,99,98,1.37,CI,1698028535
173,plainview,40.7765,-73.4673,9.92,66,0,4.12,US,1698028470
174,beau vallon,-20.4189,57.6953,23.45,94,20,1.54,MU,1698028535
175,fale old settlement,-9.3852,-171.2468,28.96,69,43,3.25,TK,1698028535
